,Steak hache,Pains et cereales : pates superieures,Emmental francais,Huile de tournesol,Beurre extra-fin (250g),Oignon,Tomate,Sucre,Lait,Escalope,Pomme,Orange,Banane,Patate,Salade,Carotte,Champignon,Concombre,Courgette,Yaourts nature (500 g),Poisson,Baguette, Panier Mensuel Moyen ,IPC,IPP,Prod céréales,Prod graines(huile),Prod légumes,Prod fruits,FR_prod_bovine,FR_prod_chicken
73,21.413,6.8,3.656,0.96,1.29,1.4,1.638,0.414,0.532,21.99,1.07,1.414,1.72,1.106,1.39,0.54,2.826,0.0,0.912,5.92,10.434,8.25,95.68,91.86,100.0,149.81820100819155,127.19670442842431,78.46547752459219,106.2860648195481,118.13,60988.4
74,21.781,6.96,3.628,0.97,1.2975,1.365,1.813,0.417,0.532,21.93,1.085,1.421,1.79,1.085,1.32,0.54,2.826,1.29,0.98,5.92,10.482,8.25,97.68,92.26,100.6,139.05321676118464,125.73759011328528,84.1956169841863,110.44269502095902,122.13,79337.3
75,21.988,7.04,3.64,1.0,1.2825,1.288,1.911,0.417,0.532,22.01,1.11,1.449,1.88,1.351,1.38,0.575,2.868,1.145,0.776,5.92,10.83,8.275,98.67,92.87,101.3,128.2882325141777,124.27847579814625,89.92575644378034,114.5993252223699,130.32,64817.7
76,21.896,7.04,3.632,1.025,1.2825,1.386,2.037,0.417,0.532,22.07,1.175,1.484,1.76,1.519,1.49,0.61,2.832,1.07,0.796,5.92,10.674,8.275,98.92,93.77,102.8,123.69825456836799,117.26838311019567,85.72173452870128,117.17574890093037,123.32,63545.1
77,21.85,7.12,3.636,1.07,1.2675,1.4,1.834,0.417,0.532,22.12,1.24,1.547,1.69,1.4,1.34,0.635,2.844,1.04,0.744,5.92,11.49,8.275,99.41,93.95,103.6,119.10827662255828,110.25829042224511,81.51771261362221,119.75217257949085,118.91,77220.3
78,21.942,7.2,3.616,1.095,1.2675,1.428,1.785,0.417,0.539,21.96,1.305,1.603,1.69,1.218,1.31,0.625,2.856,0.97,0.656,5.92,11.124,8.3,98.83,94.02,104.1,114.51829867674857,103.24819773429455,77.31369069854316,122.32859625805132,129.58,60001.2
79,22.356,7.28,3.636,1.11,1.2675,1.456,1.526,0.42,0.539,22.02,1.34,1.603,1.68,1.078,1.22,0.625,2.868,0.88,0.544,5.92,11.31,8.35,99.03,92.91,103.6,103.85237870195336,94.55695159629248,76.10431453119163,114.80543911665474,122.1,59727.9
80,22.379,7.28,3.644,1.12,1.245,1.414,1.512,0.423,0.532,22.07,1.29,1.519,1.65,1.036,1.22,0.62,2.856,1.02,0.6,5.68,11.43,8.375,98.92,92.98,102.9,93.18645872715815,85.86570545829042,74.89493836384013,107.28228197525814,134.09,73710.6
81,22.701,7.2,3.592,1.13,1.2225,1.393,1.911,0.423,0.532,22.1,1.105,1.421,1.63,0.0,1.34,0.595,2.808,0.0,0.916,5.52,11.052,8.375,96.97,93.43,101.4,82.52053875236295,77.17445932028836,73.6855621964886,99.75912483386156,137.5,58550.1
82,22.701,7.2,3.6,1.135,1.2225,1.386,1.743,0.426,0.539,22.16,1.095,1.372,1.58,0.0,1.35,0.57,2.856,0.0,0.832,5.52,11.028,8.375,96.69,93.27,99.6,82.55356017643352,75.39814624098868,78.29270950068485,99.51865862386259,118.16,53682.2
